item,category,min_prep,max_prep
Car Air Freshener,Automotive,2,5
Car Charger,Automotive,2,5
Car Floor Mat,Automotive,3,8
Car Vacuum,Automotive,5,12
Car Wash Shampoo,Automotive,2,5
Car Wax,Automotive,3,8
Classic Car Air Freshener 2 Pack,Automotive,3,7
Classic Car Air Freshener 3 Pack,Automotive,2,5
Classic Car Air Freshener 4 Pack,Automotive,3,7
Classic Car Air Freshener Single,Automotive,2,5
Classic Car Charger,Automotive,2,5
Classic Car Vacuum 2 Pack,Automotive,6,14
Classic Car Vacuum 3 Pack,Automotive,5,12
Classic Car Vacuum 4 Pack,Automotive,6,14
Classic Car Vacuum Single,Automotive,5,12
Classic Car Wax,Automotive,3,8
Classic Screwdriver Set 2 Pack,Automotive,5,12
Classic Screwdriver Set 3 Pack,Automotive,4,10
Classic Screwdriver Set 4 Pack,Automotive,5,12
Classic Screwdriver Set Single,Automotive,4,10
Classic Trunk Organizer,Automotive,3,8
Classic Wiper Blade 2 Pack,Automotive,5,12
Classic Wiper Blade 3 Pack,Automotive,4,10
Classic Wiper Blade 4 Pack,Automotive,5,12
Classic Wiper Blade Single,Automotive,4,10
Coolant,Automotive,3,8
Deluxe Car Air Freshener 2 Pack,Automotive,3,8
Deluxe Car Air Freshener 3 Pack,Automotive,2,6
Deluxe Car Air Freshener 4 Pack,Automotive,3,8
Deluxe Car Air Freshener Single,Automotive,2,6
Deluxe Car Charger,Automotive,2,6
Deluxe Car Vacuum 2 Pack,Automotive,6,15
Deluxe Car Vacuum 3 Pack,Automotive,5,13
Deluxe Car Vacuum 4 Pack,Automotive,6,15
Deluxe Car Vacuum Single,Automotive,5,13
Deluxe Car Wax,Automotive,3,9
Deluxe Screwdriver Set 2 Pack,Automotive,5,13
Deluxe Screwdriver Set 3 Pack,Automotive,4,11
Deluxe Screwdriver Set 4 Pack,Automotive,5,13
Deluxe Screwdriver Set Single,Automotive,4,11
Deluxe Trunk Organizer,Automotive,3,9
Deluxe Wiper Blade 2 Pack,Automotive,5,13
Deluxe Wiper Blade 3 Pack,Automotive,4,11
Deluxe Wiper Blade 4 Pack,Automotive,5,13
Deluxe Wiper Blade Single,Automotive,4,11
Essential Car Air Freshener 2 Pack,Automotive,2,6
Essential Car Air Freshener 3 Pack,Automotive,3,8
Essential Car Air Freshener 4 Pack,Automotive,2,6
Essential Car Air Freshener Single,Automotive,3,8
Essential Car Charger,Automotive,3,8
Essential Car Vacuum 2 Pack,Automotive,5,13
Essential Car Vacuum 3 Pack,Automotive,6,15
Essential Car Vacuum 4 Pack,Automotive,5,13
Essential Car Vacuum Single,Automotive,6,15
Essential Car Wax,Automotive,4,11
Essential Screwdriver Set 2 Pack,Automotive,4,11
Essential Screwdriver Set 3 Pack,Automotive,5,13
Essential Screwdriver Set 4 Pack,Automotive,4,11
Essential Screwdriver Set Single,Automotive,5,13
Essential Trunk Organizer,Automotive,4,11
Essential Wiper Blade 2 Pack,Automotive,4,11
Essential Wiper Blade 3 Pack,Automotive,5,13
Essential Wiper Blade 4 Pack,Automotive,4,11
Essential Wiper Blade Single,Automotive,5,13
Family Car Air Freshener 2 Pack,Automotive,3,7
Family Car Air Freshener 3 Pack,Automotive,2,5
Family Car Air Freshener 4 Pack,Automotive,3,7
Family Car Air Freshener Single,Automotive,2,5
Family Car Charger,Automotive,2,5
Family Car Vacuum 2 Pack,Automotive,6,14
Family Car Vacuum 3 Pack,Automotive,5,12
Family Car Vacuum 4 Pack,Automotive,6,14
Family Car Vacuum Single,Automotive,5,12
Family Car Wax,Automotive,3,8
Family Screwdriver Set 2 Pack,Automotive,5,12
Family Screwdriver Set 3 Pack,Automotive,4,10
Family Screwdriver Set 4 Pack,Automotive,5,12
Family Screwdriver Set Single,Automotive,4,10
Family Trunk Organizer,Automotive,3,8
Family Wiper Blade 2 Pack,Automotive,5,12
Family Wiper Blade 3 Pack,Automotive,4,10
Family Wiper Blade 4 Pack,Automotive,5,12
Family Wiper Blade Single,Automotive,4,10
Jump Starter,Automotive,4,10
Jump Starter - 2 Pack,Automotive,5,12
Jump Starter - 3 Pack,Automotive,4,10
Jump Starter - 4 Pack,Automotive,5,12
Jump Starter - Single,Automotive,4,10
Large Car Air Freshener 2 Pack,Automotive,2,6
Large Car Air Freshener 3 Pack,Automotive,3,8
Large Car Air Freshener 4 Pack,Automotive,2,6
Large Car Air Freshener Single,Automotive,3,8
Large Car Charger,Automotive,3,8
Large Car Vacuum 2 Pack,Automotive,5,13
Large Car Vacuum 3 Pack,Automotive,6,15
Large Car Vacuum 4 Pack,Automotive,5,13
Large Car Vacuum Single,Automotive,6,15
Large Car Wax,Automotive,4,11
Large Screwdriver Set 2 Pack,Automotive,4,11
Large Screwdriver Set 3 Pack,Automotive,5,13
Large Screwdriver Set 4 Pack,Automotive,4,11
Large Screwdriver Set Single,Automotive,5,13
Large Trunk Organizer,Automotive,4,11
Large Wiper Blade 2 Pack,Automotive,4,11
Large Wiper Blade 3 Pack,Automotive,5,13
Large Wiper Blade 4 Pack,Automotive,4,11
Large Wiper Blade Single,Automotive,5,13
Medium Car Air Freshener 2 Pack,Automotive,2,5
Medium Car Air Freshener 3 Pack,Automotive,3,7
Medium Car Air Freshener 4 Pack,Automotive,2,5
Medium Car Air Freshener Single,Automotive,3,7
Medium Car Charger,Automotive,3,7
Medium Car Vacuum 2 Pack,Automotive,5,12
Medium Car Vacuum 3 Pack,Automotive,6,14
Medium Car Vacuum 4 Pack,Automotive,5,12
Medium Car Vacuum Single,Automotive,6,14
Medium Car Wax,Automotive,4,10
Medium Screwdriver Set 2 Pack,Automotive,4,10
Medium Screwdriver Set 3 Pack,Automotive,5,12
Medium Screwdriver Set 4 Pack,Automotive,4,10
Medium Screwdriver Set Single,Automotive,5,12
Medium Trunk Organizer,Automotive,4,10
Medium Wiper Blade 2 Pack,Automotive,4,10
Medium Wiper Blade 3 Pack,Automotive,5,12
Medium Wiper Blade 4 Pack,Automotive,4,10
Medium Wiper Blade Single,Automotive,5,12
Mini Car Air Freshener 2 Pack,Automotive,3,7
Mini Car Air Freshener 3 Pack,Automotive,2,5
Mini Car Air Freshener 4 Pack,Automotive,3,7
Mini Car Air Freshener Single,Automotive,2,5
Mini Car Charger,Automotive,2,5
Mini Car Vacuum 2 Pack,Automotive,6,14
Mini Car Vacuum 3 Pack,Automotive,5,12
Mini Car Vacuum 4 Pack,Automotive,6,14
Mini Car Vacuum Single,Automotive,5,12
Mini Car Wax,Automotive,3,8
Mini Screwdriver Set 2 Pack,Automotive,5,12
Mini Screwdriver Set 3 Pack,Automotive,4,10
Mini Screwdriver Set 4 Pack,Automotive,5,12
Mini Screwdriver Set Single,Automotive,4,10
Mini Trunk Organizer,Automotive,3,8
Mini Wiper Blade 2 Pack,Automotive,5,12
Mini Wiper Blade 3 Pack,Automotive,4,10
Mini Wiper Blade 4 Pack,Automotive,5,12
Mini Wiper Blade Single,Automotive,4,10
Motor Oil,Automotive,3,8
Motor Oil - 2 Pack,Automotive,4,10
Motor Oil - 3 Pack,Automotive,3,8
Motor Oil - 4 Pack,Automotive,4,10
Motor Oil - Single,Automotive,3,8
Premium Car Air Freshener 2 Pack,Automotive,2,5
Premium Car Air Freshener 3 Pack,Automotive,3,7
Premium Car Air Freshener 4 Pack,Automotive,2,5
Premium Car Air Freshener Single,Automotive,3,7
Premium Car Charger,Automotive,3,7
Premium Car Vacuum 2 Pack,Automotive,5,12
Premium Car Vacuum 3 Pack,Automotive,6,14
Premium Car Vacuum 4 Pack,Automotive,5,12
Premium Car Vacuum Single,Automotive,6,14
Premium Car Wax,Automotive,4,10
Premium Screwdriver Set 2 Pack,Automotive,4,10
Premium Screwdriver Set 3 Pack,Automotive,5,12
Premium Screwdriver Set 4 Pack,Automotive,4,10
Premium Screwdriver Set Single,Automotive,5,12
Premium Trunk Organizer,Automotive,4,10
Premium Wiper Blade 2 Pack,Automotive,4,10
Premium Wiper Blade 3 Pack,Automotive,5,12
Premium Wiper Blade 4 Pack,Automotive,4,10
Premium Wiper Blade Single,Automotive,5,12
Screwdriver Set,Automotive,4,10
Small Car Air Freshener 2 Pack,Automotive,3,8
Small Car Air Freshener 3 Pack,Automotive,2,6
Small Car Air Freshener 4 Pack,Automotive,3,8
Small Car Air Freshener Single,Automotive,2,6
Small Car Charger,Automotive,2,6
Small Car Vacuum 2 Pack,Automotive,6,15
Small Car Vacuum 3 Pack,Automotive,5,13
Small Car Vacuum 4 Pack,Automotive,6,15
Small Car Vacuum Single,Automotive,5,13
Small Car Wax,Automotive,3,9
Small Screwdriver Set 2 Pack,Automotive,5,13
Small Screwdriver Set 3 Pack,Automotive,4,11
Small Screwdriver Set 4 Pack,Automotive,5,13
Small Screwdriver Set Single,Automotive,4,11
Small Trunk Organizer,Automotive,3,9
Small Wiper Blade 2 Pack,Automotive,5,13
Small Wiper Blade 3 Pack,Automotive,4,11
Small Wiper Blade 4 Pack,Automotive,5,13
Small Wiper Blade Single,Automotive,4,11
Socket Set,Automotive,4,10
Standard Car Floor Mat 2 Pack,Automotive,4,10
Standard Car Floor Mat 3 Pack,Automotive,3,8
Standard Car Floor Mat 4 Pack,Automotive,4,10
Standard Car Floor Mat Single,Automotive,3,8
Standard Car Phone Mount 2 Pack,Automotive,3,7
Standard Car Phone Mount 3 Pack,Automotive,2,5
Standard Car Phone Mount 4 Pack,Automotive,3,7
Standard Car Phone Mount Single,Automotive,2,5
Standard Car Wash Shampoo 2 Pack,Automotive,3,7
Standard Car Wash Shampoo 3 Pack,Automotive,2,5
Standard Car Wash Shampoo 4 Pack,Automotive,3,7
Standard Car Wash Shampoo Single,Automotive,2,5
Standard Coolant,Automotive,3,8
Standard Socket Set,Automotive,4,10
Standard Tire Inflator,Automotive,4,10
Tire Inflator,Automotive,4,10
Tool Kit,Automotive,5,12
Tool Kit - 2 Pack,Automotive,6,14
Tool Kit - 3 Pack,Automotive,5,12
Tool Kit - 4 Pack,Automotive,6,14
Tool Kit - Single,Automotive,5,12
Travel Car Air Freshener 2 Pack,Automotive,3,8
Travel Car Air Freshener 3 Pack,Automotive,2,6
Travel Car Air Freshener 4 Pack,Automotive,3,8
Travel Car Air Freshener Single,Automotive,2,6
Travel Car Charger,Automotive,2,6
Travel Car Vacuum 2 Pack,Automotive,6,15
Travel Car Vacuum 3 Pack,Automotive,5,13
Travel Car Vacuum 4 Pack,Automotive,6,15
Travel Car Vacuum Single,Automotive,5,13
Travel Car Wax,Automotive,3,9
Travel Screwdriver Set 2 Pack,Automotive,5,13
Travel Screwdriver Set 3 Pack,Automotive,4,11
Travel Screwdriver Set 4 Pack,Automotive,5,13
Travel Screwdriver Set Single,Automotive,4,11
Travel Trunk Organizer,Automotive,3,9
Travel Wiper Blade 2 Pack,Automotive,5,13
Travel Wiper Blade 3 Pack,Automotive,4,11
Travel Wiper Blade 4 Pack,Automotive,5,13
Travel Wiper Blade Single,Automotive,4,11
Trunk Organizer,Automotive,3,8
Wiper Blade,Automotive,4,10
Baby Bib,Baby Products,2,5
Baby Blanket,Baby Products,3,8
Baby Bottle,Baby Products,2,5
Baby Carrier,Baby Products,4,10
Baby Clothes,Baby Products,3,8
Baby Clothes - 2 Pack,Baby Products,4,10
Baby Clothes - 3 Pack,Baby Products,3,8
Baby Clothes - 4 Pack,Baby Products,4,10
Baby Clothes - Single,Baby Products,3,8
Baby Diapers,Baby Products,2,5
Baby Hat,Baby Products,2,5
Baby Lotion,Baby Products,2,5
Baby Monitor,Baby Products,4,10
Baby Rattle,Baby Products,2,5
Baby Shampoo,Baby Products,2,5
Baby Soap,Baby Products,2,5
Baby Soap - 2 Pack,Baby Products,3,7
Baby Soap - 3 Pack,Baby Products,2,5
Baby Soap - 4 Pack,Baby Products,3,7
Baby Soap - Single,Baby Products,2,5
Baby Stroller,Baby Products,5,12
Baby Wipes,Baby Products,2,5
Bottle Brush,Baby Products,2,5
Changing Mat,Baby Products,3,8
